{'datetime': '2021-08-14 00:32:58', 'sensor id': 1, 'measurement': 92}
{'datetime': '2021-08-14 00:32:59', 'sensor id': 1, 'measurement': 92}
{'datetime': '2021-08-14 00:33:00', 'sensor id': 1, 'measurement': 82}
{'datetime': '2021-08-14 00:33:01', 'sensor id': 1, 'measurement': 93}
{'datetime': '2021-08-14 00:33:02', 'sensor id': 1, 'measurement': 95}
{'datetime': '2021-08-14 00:33:03', 'sensor id': 1, 'measurement': 93}
{'datetime': '2021-08-14 00:33:04', 'sensor id': 1, 'measurement': 81}
{'datetime': '2021-08-14 00:33:05', 'sensor id': 1, 'measurement': 94}
{'datetime': '2021-08-14 00:33:06', 'sensor id': 1, 'measurement': 86}
{'datetime': '2021-08-14 00:33:07', 'sensor id': 1, 'measurement': 97}
{'datetime': '2021-08-14 00:33:08', 'sensor id': 1, 'measurement': 90}
{'datetime': '2021-08-14 00:34:19', 'sensor id': 1, 'measurement': 98}
{'datetime': '2021-08-14 00:34:20', 'sensor id': 1, 'measurement': 85}
{'datetime': '2021-08-14 00:34:21', 'sensor id': 1, 'measurement': 80}
{'datetime': '2021-08-14 00:34:22', 'sensor id': 1, 'measurement': 85}
{'datetime': '2021-08-14 00:34:23', 'sensor id': 1, 'measurement': 89}
{'datetime': '2021-08-14 00:34:24', 'sensor id': 1, 'measurement': 83}
{'datetime': '2021-08-14 00:34:25', 'sensor id': 1, 'measurement': 84}
{'datetime': '2021-08-14 00:34:26', 'sensor id': 1, 'measurement': 89}
{'datetime': '2021-08-14 00:34:27', 'sensor id': 1, 'measurement': 86}
{'datetime': '2021-08-14 00:34:28', 'sensor id': 1, 'measurement': 97}
{'datetime': '2021-08-14 00:34:29', 'sensor id': 1, 'measurement': 86}
{'datetime': '2021-08-14 00:34:30', 'sensor id': 1, 'measurement': 96}
{'datetime': '2021-08-14 00:36:19', 'sensor id': 1, 'measurement': 80}
{'datetime': '2021-08-14 00:36:20', 'sensor id': 1, 'measurement': 87}
{'datetime': '2021-08-14 00:36:21', 'sensor id': 1, 'measurement': 99}
{'datetime': '2021-08-14 00:36:22', 'sensor id': 1, 'measurement': 89}
{'datetime': '2021-08-14 00:36:24', 'sensor id': 1, 'measurement': 80}
{'datetime': '2021-08-14 00:36:25', 'sensor id': 1, 'measurement': 94}
{'datetime': '2021-08-14 00:36:26', 'sensor id': 1, 'measurement': 81}
{'datetime': '2021-08-14 00:36:27', 'sensor id': 1, 'measurement': 97}
{'datetime': '2021-08-14 00:36:28', 'sensor id': 1, 'measurement': 95}
{'datetime': '2021-08-14 00:36:29', 'sensor id': 1, 'measurement': 80}
{'datetime': '2021-08-14 00:36:30', 'sensor id': 1, 'measurement': 91}
{'datetime': '2021-08-14 00:36:31', 'sensor id': 1, 'measurement': 97}
{'datetime': '2021-08-14 00:36:32', 'sensor id': 1, 'measurement': 87}
{'datetime': '2021-08-14 00:36:33', 'sensor id': 1, 'measurement': 93}
{'datetime': '2021-08-14 00:36:34', 'sensor id': 1, 'measurement': 98}
